"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.01322031852193e-12,0.89014515683185,0.646,0.362,1.76235213384138e-07,"28","Ech1"
7.83654223388605e-12,1.74117392444817,0.28,0.08,1.96924469795323e-07,"28","Pygb"
8.69584430152242e-12,0.654624629385203,0.401,0.134,2.18517871452957e-07,"28","Fmo2"
8.78897256561082e-12,0.608087704537195,0.967,0.884,2.20858091601234e-07,"28","Sem1"
9.50528855858055e-12,1.87540759036238,0.279,0.067,2.38858396188571e-07,"28","Per3"
1.14038980046897e-11,1.03722158649498,0.527,0.26,2.86568552959848e-07,"28","Pts"
1.16235200086004e-11,0.667418027674531,0.498,0.276,2.92087434296118e-07,"28","Oaz2"
1.21024431492081e-11,1.62992263372309,0.343,0.108,3.0412229389645e-07,"28","Fgfr1op"
1.23072656443256e-11,2.00620926305706,0.257,0.06,3.09269278376257e-07,"28","Kctd5"
1.29283578894204e-11,2.1724379021517,0.322,0.072,3.24876705403245e-07,"28","Wdr92"
1.32151957137507e-11,1.55409268734487,0.296,0.098,3.32084653090841e-07,"28","Dnajc12"
1.39171143932361e-11,1.95493572290163,0.369,0.112,3.49723167587629e-07,"28","Pcnt"
1.4246681175473e-11,1.42032123267614,0.714,0.288,3.58004851258462e-07,"28","Serpinb6a"
1.43485115211287e-11,1.09656721501667,0.546,0.236,3.60563746014444e-07,"28","Rab25"
1.47181869820428e-11,0.664176433447359,0.707,0.42,3.69853320671754e-07,"28","Sec11c"
1.65992924496405e-11,1.29164210923161,0.35,0.147,4.17123619967017e-07,"28","Prkcz"
1.6614726868159e-11,1.32054826052808,0.47,0.187,4.17511471469967e-07,"28","Supt20"
